File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, $, '', :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1990.txt, 31422, 4342, 3508, 0, 47.13, 4.11, 0, 11, 141, 1129, 191, 2874, 102, 3, 2813, 1896, 74, 56, 0, 572, 5660, 4, 0, 1161, 15, 207, 2848, 889, 2299, 52, 14, 280, 0, 705, 11, 1560, 2953, 624, 581, 733, 432, 78, 221, 4, 229
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1992.txt, 1057, 421, 130, 0, 42.2, 4.09, 0, 0, 5, 39, 31, 74, 0, 1, 95, 60, 5, 2, 0, 31, 229, 0, 0, 66, 0, 11, 88, 21, 64, 4, 0, 3, 0, 19, 0, 70, 13, 6, 12, 54, 33, 3, 5, 0, 13
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1993.txt, 331487, 16319, 32320, 0, 53.43, 4.09, 0, 193, 883, 11603, 1899, 30898, 797, 26, 34616, 20060, 878, 474, 0, 5594, 63654, 26, 0, 14072, 451, 2095, 25303, 9308, 21655, 403, 83, 3327, 2, 8136, 167, 16150, 26454, 7105, 6876, 7568, 5715, 820, 1790, 26, 2380
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1994.txt, 125161, 9643, 12971, 0, 50.42, 4.11, 1, 167, 211, 3903, 617, 11289, 268, 14, 12786, 7378, 319, 174, 0, 2291, 23215, 12, 1, 6123, 138, 928, 10647, 3624, 7146, 124, 38, 883, 0, 3167, 34, 6373, 10773, 2481, 2742, 3272, 1902, 302, 809, 11, 998
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1995.txt, 192014, 11921, 17470, 0, 58.42, 4.19, 0, 233, 462, 6955, 898, 17085, 352, 21, 19969, 12312, 578, 317, 0, 3433, 34098, 75, 1, 9209, 231, 1389, 15810, 6590, 12299, 282, 69, 1476, 1, 4758, 74, 9295, 16196, 3886, 4264, 4125, 2469, 471, 1084, 20, 1227
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1996.txt, 12393, 2264, 1187, 0, 54.8, 4.13, 0, 2, 25, 438, 97, 1240, 29, 1, 1186, 780, 21, 37, 0, 185, 2453, 0, 0, 488, 20, 99, 916, 360, 791, 11, 2, 119, 0, 265, 11, 543, 1125, 283, 230, 270, 193, 30, 56, 0, 87
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1997.txt, 80699, 7480, 8229, 0, 51.71, 4.13, 0, 30, 45, 2816, 580, 7545, 170, 9, 7505, 5207, 192, 174, 0, 1289, 16553, 7, 0, 3537, 93, 535, 5758, 2415, 5142, 87, 20, 744, 0, 1867, 54, 3742, 7514, 1602, 1499, 1658, 1141, 163, 391, 4, 611
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1998.txt, 138642, 10255, 15530, 0, 47.0, 4.13, 1, 51, 126, 3969, 1822, 12572, 309, 21, 12429, 8797, 287, 236, 0, 2290, 31738, 12, 3, 6413, 150, 955, 9712, 3628, 7701, 119, 33, 1225, 16, 3242, 50, 6900, 8862, 2598, 2369, 4312, 3653, 274, 840, 8, 919
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_1999.txt, 156908, 11042, 16627, 0, 49.51, 4.12, 4, 25, 176, 4736, 2343, 13946, 330, 28, 14088, 10171, 372, 253, 0, 2670, 34095, 17, 2, 7256, 152, 993, 11441, 4139, 8991, 180, 51, 1340, 26, 3926, 64, 8265, 10134, 2908, 2782, 4820, 3803, 351, 914, 9, 1107
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2000.txt, 176872, 11857, 18328, 0, 50.52, 4.11, 6, 288, 178, 5317, 2829, 15755, 338, 11, 16466, 11498, 379, 289, 0, 2784, 38880, 24, 0, 8193, 182, 1253, 12283, 4605, 9884, 166, 53, 1412, 18, 4376, 61, 8735, 11754, 3276, 3082, 5297, 4460, 383, 1075, 5, 1277
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2001.txt, 156100, 12321, 15821, 0, 52.11, 4.16, 5, 125, 154, 4566, 2323, 13882, 326, 26, 14773, 10102, 337, 264, 1, 2457, 34452, 21, 0, 6854, 150, 1130, 10891, 4140, 9169, 152, 38, 1226, 2, 3847, 73, 7659, 10433, 3052, 2876, 4365, 3710, 409, 1005, 9, 1096
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2002.txt, 153555, 11505, 14827, 0, 54.56, 4.14, 3, 22, 143, 4828, 2120, 13992, 349, 16, 14909, 9947, 355, 216, 0, 2574, 32694, 29, 0, 6863, 152, 961, 10733, 4034, 8947, 170, 51, 1235, 4, 3800, 53, 7620, 10930, 3274, 2788, 4087, 3234, 350, 926, 7, 1139
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2003.txt, 201315, 15759, 18525, 0, 58.39, 4.25, 9, 97, 307, 5863, 2767, 18507, 379, 21, 19862, 13870, 518, 309, 0, 3172, 42833, 40, 0, 8838, 178, 1577, 13920, 6210, 11522, 284, 59, 1627, 9, 5007, 55, 9046, 14873, 4214, 4418, 4303, 3662, 552, 1092, 26, 1289
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2004.txt, 245605, 18099, 21951, 0, 59.73, 4.22, 8, 123, 516, 7636, 2636, 22539, 429, 48, 24907, 16657, 622, 440, 0, 4160, 51045, 24, 1, 10511, 216, 1870, 17126, 8322, 14673, 324, 79, 1923, 12, 6094, 58, 11242, 17682, 5223, 5419, 5182, 4275, 751, 1344, 16, 1472
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2005.txt, 186176, 15105, 17887, 0, 55.72, 4.23, 4, 149, 172, 5372, 2732, 16874, 323, 30, 18493, 12558, 444, 322, 3, 2848, 39899, 43, 1, 8768, 130, 1536, 12716, 5445, 10660, 205, 71, 1464, 7, 4614, 62, 8573, 12296, 3944, 3678, 4872, 3963, 544, 1129, 13, 1219
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2006.txt, 279071, 19724, 24400, 0, 61.61, 4.28, 4, 164, 374, 8418, 3394, 26248, 508, 106, 29036, 19478, 704, 490, 0, 4399, 58033, 20, 2, 12651, 245, 2087, 18627, 8681, 16081, 384, 112, 2072, 3, 7183, 71, 12771, 19182, 6051, 6059, 6154, 5084, 823, 1561, 30, 1781
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2007.txt, 240950, 17445, 22751, 0, 56.52, 4.22, 8, 95, 123, 7249, 3008, 21846, 486, 20, 24132, 16666, 603, 431, 2, 3908, 51236, 35, 2, 10757, 180, 1849, 16657, 7417, 14084, 252, 95, 1957, 12, 5986, 83, 11247, 16482, 5041, 4753, 5528, 5121, 665, 1355, 23, 1556
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2008.txt, 79821, 8189, 8499, 0, 50.37, 4.23, 4, 28, 18, 2167, 1188, 6927, 169, 48, 7233, 5387, 143, 129, 1, 1216, 18280, 28, 2, 4303, 62, 614, 5366, 1975, 4384, 60, 29, 611, 2, 2046, 21, 4016, 3629, 1613, 1154, 2921, 2694, 173, 553, 4, 623
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2009.txt, 77027, 7582, 8433, 0, 47.98, 4.12, 1, 32, 164, 2191, 866, 6712, 154, 7, 7140, 4914, 138, 115, 0, 1450, 16947, 11, 0, 3569, 67, 555, 5476, 1985, 4457, 46, 34, 621, 9, 1936, 22, 4082, 4729, 1488, 1275, 2391, 2215, 150, 478, 5, 595
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2010.txt, 70075, 7023, 8045, 0, 45.45, 4.09, 3, 33, 146, 1906, 1010, 6133, 138, 12, 6425, 4494, 144, 111, 0, 1122, 15951, 8, 0, 3209, 53, 544, 4958, 1746, 4060, 51, 31, 594, 9, 1686, 34, 3530, 3773, 1284, 1117, 2335, 2304, 163, 436, 4, 518
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2011.txt, 95227, 9133, 10511, 0, 48.3, 4.19, 7, 52, 189, 2466, 1651, 8593, 150, 10, 8714, 6399, 211, 155, 0, 1483, 22378, 17, 1, 5071, 91, 817, 5801, 2370, 4751, 78, 30, 788, 11, 2330, 23, 4545, 5091, 1881, 1534, 2970, 3155, 237, 576, 9, 592
D:\corpora\COCA\text_fiction_awq\juvenile\w_fic_2012.txt, 43220, 5296, 4708, 0, 48.69, 4.15, 1, 25, 79, 1138, 669, 3849, 69, 7, 3846, 3047, 82, 62, 0, 649, 9886, 7, 1, 2572, 43, 358, 2680, 1070, 2175, 39, 14, 327, 4, 1063, 8, 2229, 2157, 791, 690, 1439, 1447, 136, 237, 4, 320
D:\corpora\COCA\text_fiction_awq\other\w_fic_1990.txt, 3852090, 71292, 328364, 0, 62.21, 4.18, 37, 3509, 13331, 134536, 28911, 365841, 9320, 805, 417365, 254431, 8532, 5214, 12, 56994, 752066, 364, 20, 174233, 3803, 24919, 287839, 109052, 233948, 4961, 1062, 32261, 452, 94061, 1171, 169637, 275114, 83057, 81528, 85113, 79728, 12027, 21626, 501, 24709
D:\corpora\COCA\text_fiction_awq\other\w_fic_1991.txt, 3963592, 78435, 329861, 0, 64.21, 4.22, 42, 3136, 14896, 133664, 29301, 380609, 9368, 1140, 432826, 264015, 9332, 5620, 3, 60689, 774972, 479, 30, 176390, 3991, 26082, 293933, 108590, 239641, 5308, 1154, 31523, 323, 98669, 951, 177141, 274320, 86509, 85179, 88599, 83174, 13137, 23217, 567, 25072
D:\corpora\COCA\text_fiction_awq\other\w_fic_1992.txt, 3686205, 71815, 313304, 0, 62.84, 4.22, 38, 3202, 15147, 124626, 27052, 367627, 8193, 611, 400201, 241432, 8452, 4777, 17, 52891, 731010, 391, 25, 170856, 3487, 25566, 265040, 102558, 216507, 4727, 908, 29397, 556, 90734, 912, 160830, 249241, 81056, 78326, 81877, 82253, 11724, 20760, 471, 22727
D:\corpora\COCA\text_fiction_awq\other\w_fic_1993.txt, 3330615, 67441, 280168, 0, 63.3, 4.2, 45, 3472, 14773, 113661, 26376, 319069, 7457, 592, 359356, 221902, 7297, 4191, 5, 48218, 659968, 379, 19, 153490, 3412, 22613, 243070, 92068, 197835, 4297, 943, 26922, 585, 82188, 910, 148033, 218121, 72108, 68631, 77980, 78627, 9899, 19538, 445, 22120
D:\corpora\COCA\text_fiction_awq\other\w_fic_1994.txt, 3291380, 70805, 276299, 0, 63.4, 4.2, 57, 3691, 14727, 113134, 26654, 318102, 7575, 578, 357013, 220562, 7000, 5088, 10, 46237, 647789, 369, 19, 154463, 3477, 21414, 240331, 93829, 194285, 4157, 849, 27189, 481, 78839, 922, 142354, 213723, 72886, 66629, 77084, 77216, 10798, 19670, 534, 21645
D:\corpora\COCA\text_fiction_awq\other\w_fic_1995.txt, 3009792, 64711, 253467, 0, 63.24, 4.2, 44, 2630, 16132, 98792, 24344, 288918, 6822, 500, 328084, 200183, 6382, 3947, 6, 41980, 604203, 282, 17, 137166, 2847, 20232, 217191, 86020, 176199, 3688, 800, 26509, 523, 71608, 785, 129846, 193137, 70545, 61172, 69689, 71355, 9690, 17901, 448, 19175
D:\corpora\COCA\text_fiction_awq\other\w_fic_1996.txt, 3219204, 74303, 267253, 0, 64.43, 4.23, 48, 4545, 15018, 107150, 26227, 313051, 6878, 1434, 350674, 216845, 6770, 4135, 9, 46174, 648564, 382, 11, 151393, 3028, 22785, 228050, 93934, 185782, 4024, 887, 26522, 500, 76715, 811, 136823, 195338, 73208, 64301, 75463, 82725, 10197, 18133, 489, 20181
D:\corpora\COCA\text_fiction_awq\other\w_fic_1997.txt, 2979681, 70520, 244191, 0, 65.0, 4.21, 14, 2356, 14310, 101588, 24449, 288759, 6685, 510, 323479, 203588, 6519, 4099, 9, 41379, 598555, 239, 18, 138666, 3106, 18964, 211229, 85597, 175860, 3679, 771, 25068, 596, 69973, 765, 126962, 185159, 67746, 58272, 71250, 72978, 9642, 16985, 476, 19381
D:\corpora\COCA\text_fiction_awq\other\w_fic_1998.txt, 3444950, 76533, 284089, 0, 64.86, 4.23, 28, 1904, 11920, 116739, 25795, 334951, 7978, 650, 376342, 233702, 7961, 4570, 11, 51087, 679481, 376, 16, 160795, 3525, 22805, 245725, 98856, 205607, 4656, 920, 29071, 530, 82440, 936, 149030, 230667, 77792, 71752, 77037, 75204, 11308, 19957, 530, 22296
D:\corpora\COCA\text_fiction_awq\other\w_fic_1999.txt, 3784047, 80201, 322058, 0, 62.69, 4.21, 28, 3512, 12913, 125344, 27286, 359580, 8474, 728, 403623, 255728, 8747, 5646, 7, 57269, 751190, 409, 20, 172149, 3687, 25383, 275920, 106469, 227433, 5100, 1090, 32206, 540, 91931, 1100, 168730, 258132, 83430, 77582, 90342, 81588, 12221, 22577, 523, 25410
D:\corpora\COCA\text_fiction_awq\other\w_fic_2000.txt, 3563852, 80942, 286296, 0, 66.75, 4.24, 52, 2557, 10387, 120955, 26581, 347699, 7909, 609, 387803, 249490, 8160, 5125, 5, 50649, 712568, 429, 23, 166021, 3560, 23841, 247818, 101573, 210438, 4765, 1073, 29239, 472, 85971, 893, 152983, 232323, 80109, 73762, 79902, 81770, 12066, 20730, 491, 23051
D:\corpora\COCA\text_fiction_awq\other\w_fic_2001.txt, 3533046, 80111, 292345, 0, 64.83, 4.24, 27, 2803, 10293, 117344, 25881, 344056, 7873, 595, 383885, 243055, 8301, 5114, 4, 52727, 703663, 382, 24, 162215, 3573, 23272, 249587, 100498, 211036, 4557, 1026, 29013, 394, 84570, 997, 153240, 233050, 79750, 72888, 82596, 78764, 11864, 20898, 495, 22736
D:\corpora\COCA\text_fiction_awq\other\w_fic_2002.txt, 3417347, 78152, 281427, 0, 65.23, 4.25, 32, 2022, 11735, 114795, 27555, 334053, 7777, 547, 371938, 236581, 7964, 4878, 13, 50391, 680527, 330, 33, 162810, 3415, 22087, 236114, 98061, 202719, 4642, 1073, 28327, 586, 81702, 892, 145747, 219398, 78144, 70696, 77878, 78180, 11257, 19799, 481, 22168
juvenile_coca, 3074797, 60459, 302658, 0, 53.82, 4.17, 69, 1945, 4637, 94705, 35671, 279380, 6175, 486, 301423, 201678, 7406, 5056, 7, 50577, 644209, 460, 17, 140484, 2999, 22363, 219757, 88974, 180935, 3473, 1006, 25254, 147, 76053, 1089, 148193, 217035, 62625, 60198, 78656, 64665, 7828, 17877, 237, 21048
other_coca, 45075801, 329219, 3759122, 0, 64.03, 4.22, 492, 39339, 175582, 1522328, 346412, 4362315, 102309, 9299, 4892589, 3041514, 101417, 62404, 111, 656685, 8944556, 4811, 275, 2080647, 44911, 299963, 3241847, 1277105, 2677290, 58561, 12556, 373247, 6538, 1089401, 12045, 1961356, 2977723, 1006340, 930718, 1034810, 1023562, 145830, 261791, 6451, 290671
juvenile_coca, 1000.0, 19.66, 98.43, 0, 53.82, 4.17, 0.02, 0.63, 1.51, 30.8, 11.6, 90.86, 2.01, 0.16, 98.03, 65.59, 2.41, 1.64, 0.0, 16.45, 209.51, 0.15, 0.01, 45.69, 0.98, 7.27, 71.47, 28.94, 58.84, 1.13, 0.33, 8.21, 0.05, 24.73, 0.35, 48.2, 70.59, 20.37, 19.58, 25.58, 21.03, 2.55, 5.81, 0.08, 6.85
other_coca, 1000.0, 7.3, 83.4, 0, 64.03, 4.22, 0.01, 0.87, 3.9, 33.77, 7.69, 96.78, 2.27, 0.21, 108.54, 67.48, 2.25, 1.38, 0.0, 14.57, 198.43, 0.11, 0.01, 46.16, 1.0, 6.65, 71.92, 28.33, 59.4, 1.3, 0.28, 8.28, 0.15, 24.17, 0.27, 43.51, 66.06, 22.33, 20.65, 22.96, 22.71, 3.24, 5.81, 0.14, 6.45
